                   0 a=    x, b=    x, c=x, s=    x, cout=x
                4540 a= 9951, b= 6206, c=1, s=16158, cout=0
                4550 a=23104, b=12573, c=0, s=35677, cout=0
                4560 a=29475, b=36071, c=1, s=   11, cout=1
                4570 a=35354, b= 3244, c=0, s=38598, cout=0
                4580 a=58793, b=54010, c=0, s=47267, cout=1
                4590 a=20470, b=54220, c=1, s= 9155, cout=1
                4600 a=  192, b=43137, c=1, s=43330, cout=0
                4610 a=40693, b=50746, c=1, s=25904, cout=1
                4620 a=51574, b=21434, c=1, s= 7473, cout=1
                4630 a=22307, b=19625, c=0, s=41932, cout=0
                4640 a=41730, b=29576, c=0, s= 5770, cout=1
                4650 a=26053, b=29033, c=1, s=55087, cout=0
                4660 a=12986, b=58508, c=1, s= 5959, cout=1
                4670 a=20787, b=  214, c=1, s=21002, cout=0
                4680 a= 6560, b=35359, c=1, s=41920, cout=0
                4690 a=  332, b=55829, c=1, s=56162, cout=0
                4700 a=50899, b=32374, c=0, s=17737, cout=1
                4710 a=46870, b= 3067, c=0, s=49937, cout=0
                4720 a= 3431, b=30993, c=0, s=34424, cout=0
                4730 a=54720, b=53301, c=1, s=42486, cout=1
                4740 a=33636, b= 1383, c=0, s=35019, cout=0
                4750 a=18759, b=27437, c=1, s=46197, cout=0
                4760 a=62806, b=40423, c=1, s=37694, cout=1
                4770 a= 2925, b=37562, c=0, s=40487, cout=0
                4780 a=58176, b=20474, c=1, s=13115, cout=1
                4790 a=27438, b=20807, c=1, s=48246, cout=0
                4800 a=27271, b= 1706, c=1, s=28978, cout=0
                4810 a=  242, b=48577, c=0, s=48819, cout=0
                4820 a=  310, b=52008, c=1, s=52319, cout=0
                4830 a=21813, b=36729, c=0, s=58542, cout=0
                4840 a=39292, b=46717, c=0, s=20473, cout=1
                4850 a=62700, b=41828, c=1, s=38993, cout=1
                4860 a= 3253, b=34635, c=0, s=37888, cout=0
