                   0 a=    x, b=    x, c=x, s=    x, cout=x
                 493 a=58332, b=24475, c=1, s=15352, cout=0
                 494 a=58332, b=24475, c=1, s=15352, cout=1
                 495 a=58332, b=24475, c=1, s=13176, cout=1
                 497 a=58332, b=24475, c=1, s= 9080, cout=1
                 499 a=58332, b=24475, c=1, s=  888, cout=1
                 500 a=50411, b=21927, c=0, s=  888, cout=1
                 501 a=50411, b=21927, c=0, s=17273, cout=1
                 502 a=50411, b=21927, c=0, s=28274, cout=1
                 503 a=50411, b=21927, c=0, s=14866, cout=1
                 505 a=50411, b=21927, c=0, s= 6802, cout=1
                 510 a=10652, b= 2672, c=1, s= 6802, cout=1
                 511 a=10652, b= 2672, c=1, s= 6803, cout=1
                 512 a=10652, b= 2672, c=1, s=43059, cout=0
                 513 a=10652, b= 2672, c=1, s=13397, cout=0
                 515 a=10652, b= 2672, c=1, s=13469, cout=0
                 517 a=10652, b= 2672, c=1, s=13581, cout=0
                 519 a=10652, b= 2672, c=1, s=13837, cout=0
                 520 a= 2318, b= 6964, c=1, s=13837, cout=0
                 521 a= 2318, b= 6964, c=1, s=12301, cout=0
                 522 a= 2318, b= 6964, c=1, s=  475, cout=0
                 523 a= 2318, b= 6964, c=1, s= 9331, cout=0
                 525 a= 2318, b= 6964, c=1, s= 9251, cout=0
                 527 a= 2318, b= 6964, c=1, s= 9219, cout=0
                 529 a= 2318, b= 6964, c=1, s= 9283, cout=0
                 530 a=52376, b=16500, c=0, s= 9283, cout=0
                 531 a=52376, b=16500, c=0, s= 9282, cout=0
                 532 a=52376, b=16500, c=0, s=47764, cout=0
                 533 a=52376, b=16500, c=0, s= 1052, cout=0
                 534 a=52376, b=16500, c=0, s= 1052, cout=1
                 535 a=52376, b=16500, c=0, s= 7436, cout=1
                 537 a=52376, b=16500, c=0, s= 3340, cout=1
                 540 a=34239, b= 4372, c=1, s= 3340, cout=1
                 541 a=34239, b= 4372, c=1, s= 3341, cout=1
                 542 a=34239, b= 4372, c=1, s= 5450, cout=1
                 543 a=34239, b= 4372, c=1, s=38848, cout=1
                 544 a=34239, b= 4372, c=1, s=38848, cout=0
                 545 a=34239, b= 4372, c=1, s=38612, cout=0
                 550 a=34484, b=55727, c=0, s=38612, cout=0
                 551 a=34484, b=55727, c=0, s=38613, cout=0
                 552 a=34484, b=55727, c=0, s=23909, cout=1
                 553 a=34484, b=55727, c=0, s=23143, cout=1
                 555 a=34484, b=55727, c=0, s=21603, cout=1
                 557 a=34484, b=55727, c=0, s=18531, cout=1
                 559 a=34484, b=55727, c=0, s=28771, cout=1
                 560 a=65483, b= 1249, c=1, s=28771, cout=1
                 561 a=65483, b= 1249, c=1, s=16482, cout=1
                 562 a=65483, b= 1249, c=1, s=58451, cout=0
                 563 a=65483, b= 1249, c=1, s=50425, cout=0
                 565 a=65483, b= 1249, c=1, s=33965, cout=0
                 567 a=65483, b= 1249, c=1, s= 1197, cout=0
                 568 a=65483, b= 1249, c=1, s= 1197, cout=1
                 570 a=35491, b= 8586, c=1, s= 1197, cout=1
                 572 a=35491, b= 8586, c=1, s=21678, cout=1
                 573 a=35491, b= 8586, c=1, s=64558, cout=1
                 574 a=35491, b= 8586, c=1, s=64558, cout=0
                 575 a=35491, b= 8586, c=1, s=44078, cout=0
                 580 a=35252, b=55813, c=0, s=44078, cout=0
                 581 a=35252, b=55813, c=0, s=44079, cout=0
                 582 a=35252, b=55813, c=0, s=21687, cout=1
                 583 a=35252, b=55813, c=0, s=17849, cout=1
                 585 a=35252, b=55813, c=0, s=26553, cout=1
                 587 a=35252, b=55813, c=0, s=25529, cout=1
                 590 a=63475, b=20498, c=1, s=25529, cout=1
                 591 a=63475, b=20498, c=1, s=25528, cout=1
                 592 a=63475, b=20498, c=1, s=38888, cout=0
                 593 a=63475, b=20498, c=1, s=18374, cout=0
                 594 a=63475, b=20498, c=1, s=18374, cout=1
                 595 a=63475, b=20498, c=1, s=18310, cout=1
                 597 a=63475, b=20498, c=1, s=18182, cout=1
                 599 a=63475, b=20498, c=1, s=17926, cout=1
                 600 a=21022, b=  909, c=1, s=17926, cout=1
                 601 a=21022, b=  909, c=1, s=17414, cout=1
                 602 a=21022, b=  909, c=1, s=45684, cout=0
                 603 a=21022, b=  909, c=1, s=54924, cout=0
                 605 a=21022, b=  909, c=1, s=22444, cout=0
                 607 a=21022, b=  909, c=1, s=21932, cout=0
                 610 a= 6220, b=11561, c=1, s=21932, cout=0
                 612 a= 6220, b=11561, c=1, s=12634, cout=0
                 613 a= 6220, b=11561, c=1, s=11582, cout=0
                 615 a= 6220, b=11561, c=1, s= 1526, cout=0
                 617 a= 6220, b=11561, c=1, s=17782, cout=0
                 620 a=60781, b= 9415, c=1, s=17782, cout=0
                 622 a=60781, b= 9415, c=1, s=47545, cout=0
                 623 a=60781, b= 9415, c=1, s=  293, cout=0
